Player Name,PlayerID,Team,Stat,Line
Giannis Antetokounmpo,antetgi01,MIL,pts+rebs,43.5
Damian Lillard,lillada01,MIL,pts+rebs,30.5
Brook Lopez,lopezbr01,MIL,pts+rebs,16.5
Jrue Holiday,holidjr01,BOS,pts+rebs,17.5
Jayson Tatum,tatumja01,BOS,pts+rebs,37.5
Jaylen Brown,brownja02,BOS,pts+rebs,29.5
Derrick White,whitede01,BOS,pts+rebs,21.5
Al Horford,horfoal01,BOS,pts+rebs,14.5
Taurean Prince,princta02,MIL,pts+rebs+asts,11.5
Giannis Antetokounmpo,antetgi01,MIL,pts+rebs+asts,49.5
Damian Lillard,lillada01,MIL,pts+rebs+asts,37.5
Brook Lopez,lopezbr01,MIL,pts+rebs+asts,17.5
Jrue Holiday,holidjr01,BOS,pts+rebs+asts,22.5
Jayson Tatum,tatumja01,BOS,pts+rebs+asts,43
Jaylen Brown,brownja02,BOS,pts+rebs+asts,33.5
Derrick White,whitede01,BOS,pts+rebs+asts,25.5
Al Horford,horfoal01,BOS,pts+rebs+asts,16.5
Giannis Antetokounmpo,antetgi01,MIL,assists,6
Damian Lillard,lillada01,MIL,assists,7
Brook Lopez,lopezbr01,MIL,assists,1.5
Jrue Holiday,holidjr01,BOS,assists,4
Jayson Tatum,tatumja01,BOS,assists,5.5
Taurean Prince,princta02,MIL,rebounds,3.5
Giannis Antetokounmpo,antetgi01,MIL,rebounds,12.5
Jrue Holiday,holidjr01,BOS,rebounds,4.5
Jayson Tatum,tatumja01,BOS,rebounds,8
Jaylen Brown,brownja02,BOS,rebounds,6
Taurean Prince,princta02,MIL,points,6.5
Giannis Antetokounmpo,antetgi01,MIL,points,30.5
Damian Lillard,lillada01,MIL,points,26.5
Brook Lopez,lopezbr01,MIL,points,11.5
Jrue Holiday,holidjr01,BOS,points,13.5
Jayson Tatum,tatumja01,BOS,points,29.5
Jaylen Brown,brownja02,BOS,points,23.5
Derrick White,whitede01,BOS,points,17.5
Jrue Holiday,holidjr01,BOS,defensive rebounds,3.5
Giannis Antetokounmpo,antetgi01,MIL,defensive rebounds,9.5
Al Horford,horfoal01,BOS,defensive rebounds,5
Giannis Antetokounmpo,antetgi01,MIL,offensive rebounds,3
Damian Lillard,lillada01,MIL,offensive rebounds,0.5
Al Horford,horfoal01,BOS,offensive rebounds,1.5
Brook Lopez,lopezbr01,MIL,offensive rebounds,1.5
Jrue Holiday,holidjr01,BOS,fg attempted,10.5
Jayson Tatum,tatumja01,BOS,fg attempted,20.5
Jaylen Brown,brownja02,BOS,fg attempted,18.5
Giannis Antetokounmpo,antetgi01,MIL,fg attempted,19.5
Derrick White,whitede01,BOS,fg attempted,13.5
Damian Lillard,lillada01,MIL,fg attempted,18.5
Al Horford,horfoal01,BOS,fg attempted,6.5
Brook Lopez,lopezbr01,MIL,fg attempted,8.5
Jayson Tatum,tatumja01,BOS,free throws made,6
Taurean Prince,princta02,MIL,free throws made,0.5
Giannis Antetokounmpo,antetgi01,MIL,free throws made,6.5
Derrick White,whitede01,BOS,free throws made,2.5
Damian Lillard,lillada01,MIL,free throws made,7
Brook Lopez,lopezbr01,MIL,free throws made,1.5
Jrue Holiday,holidjr01,BOS,fantasy score,26.5
Jayson Tatum,tatumja01,BOS,fantasy score,49
Jaylen Brown,brownja02,BOS,fantasy score,36
Giannis Antetokounmpo,antetgi01,MIL,fantasy score,54
Derrick White,whitede01,BOS,fantasy score,32
Damian Lillard,lillada01,MIL,fantasy score,41.5
Al Horford,horfoal01,BOS,fantasy score,22.5
Brook Lopez,lopezbr01,MIL,fantasy score,24
Jaden Ivey,iveyja01,DET,blks+stls,1.5
Cade Cunningham,cunnica01,DET,blks+stls,1.5
Fred VanVleet,vanvlfr01,HOU,steals,1.5
Jalen Green,greenja05,HOU,rebs+asts,8.5
Jaden Ivey,iveyja01,DET,rebs+asts,8.5
Tobias Harris,harrito02,DET,rebs+asts,10
Fred VanVleet,vanvlfr01,HOU,rebs+asts,10
Alperen Sengun,sengual01,HOU,rebs+asts,14.5
Cade Cunningham,cunnica01,DET,rebs+asts,15
Tobias Harris,harrito02,DET,pts+asts,17.5
Jaden Ivey,iveyja01,DET,pts+asts,21.5
Fred VanVleet,vanvlfr01,HOU,pts+asts,22.5
Alperen Sengun,sengual01,HOU,pts+asts,22.5
Jalen Green,greenja05,HOU,pts+asts,24.5
Cade Cunningham,cunnica01,DET,pts+asts,31.5
Tim Hardaway Jr.,hardati02,DET,pts+rebs,14.5
Malik Beasley,beaslma01,DET,pts+rebs,14.5
Dillon Brooks,brookdi01,HOU,pts+rebs,15.5
Isaiah Stewart,stewais01,DET,pts+rebs,18
Jabari Smith Jr.,smithja05,HOU,pts+rebs,18.5
Fred VanVleet,vanvlfr01,HOU,pts+rebs,19.5
Jaden Ivey,iveyja01,DET,pts+rebs,21.5
Tobias Harris,harrito02,DET,pts+rebs,23.5
Jalen Green,greenja05,HOU,pts+rebs,27.5
Alperen Sengun,sengual01,HOU,pts+rebs,29.5
Cade Cunningham,cunnica01,DET,pts+rebs,30.5
Jaden Ivey,iveyja01,DET,pts+rebs+asts,25.5
Tobias Harris,harrito02,DET,pts+rebs+asts,25.5
Fred VanVleet,vanvlfr01,HOU,pts+rebs+asts,26.5
Jalen Green,greenja05,HOU,pts+rebs+asts,30
Alperen Sengun,sengual01,HOU,pts+rebs+asts,33.5
Cade Cunningham,cunnica01,DET,pts+rebs+asts,38.5
Alperen Sengun,sengual01,HOU,assists,4
Fred VanVleet,vanvlfr01,HOU,assists,6.5
Cade Cunningham,cunnica01,DET,assists,8
Dillon Brooks,brookdi01,HOU,rebounds,3.5
Fred VanVleet,vanvlfr01,HOU,rebounds,3.5
Jaden Ivey,iveyja01,DET,rebounds,4
Jalen Green,greenja05,HOU,rebounds,5
Cade Cunningham,cunnica01,DET,rebounds,6.5
Jabari Smith Jr.,smithja05,HOU,rebounds,6.5
Tobias Harris,harrito02,DET,rebounds,7.5
Isaiah Stewart,stewais01,DET,rebounds,8.5
Alperen Sengun,sengual01,HOU,rebounds,10
Isaiah Stewart,stewais01,DET,points,8.5
Tim Hardaway Jr.,hardati02,DET,points,11.5
Jabari Smith Jr.,smithja05,HOU,points,11.5
Malik Beasley,beaslma01,DET,points,11.5
Dillon Brooks,brookdi01,HOU,points,11.5
Tobias Harris,harrito02,DET,points,15.5
Jaden Ivey,iveyja01,DET,points,17.5
Alperen Sengun,sengual01,HOU,points,18.5
Jalen Green,greenja05,HOU,points,22
Cade Cunningham,cunnica01,DET,points,23.5
Isaiah Stewart,stewais01,DET,defensive rebounds,6.5
Jabari Smith Jr.,smithja05,HOU,defensive rebounds,5
Tobias Harris,harrito02,DET,defensive rebounds,6
Alperen Sengun,sengual01,HOU,defensive rebounds,7
Cade Cunningham,cunnica01,DET,defensive rebounds,5.5
Jabari Smith Jr.,smithja05,HOU,offensive rebounds,1.5
Dillon Brooks,brookdi01,HOU,offensive rebounds,0.5
Tobias Harris,harrito02,DET,offensive rebounds,1.5
Alperen Sengun,sengual01,HOU,offensive rebounds,3.5
Jalen Green,greenja05,HOU,offensive rebounds,0.5
Jabari Smith Jr.,smithja05,HOU,fg attempted,9.5
Dillon Brooks,brookdi01,HOU,fg attempted,10
Malik Beasley,beaslma01,DET,fg attempted,11.5
Fred VanVleet,vanvlfr01,HOU,fg attempted,13
Tobias Harris,harrito02,DET,fg attempted,13.5
Alperen Sengun,sengual01,HOU,fg attempted,14
Jaden Ivey,iveyja01,DET,fg attempted,15.5
Jalen Green,greenja05,HOU,fg attempted,18
Cade Cunningham,cunnica01,DET,fg attempted,19.5
Jabari Smith Jr.,smithja05,HOU,free throws made,1.5
Tim Hardaway Jr.,hardati02,DET,free throws made,1.5
Dillon Brooks,brookdi01,HOU,free throws made,1.5
Fred VanVleet,vanvlfr01,HOU,free throws made,2.5
Alperen Sengun,sengual01,HOU,free throws made,3.5
Jaden Ivey,iveyja01,DET,free throws made,3.5
Jalen Green,greenja05,HOU,free throws made,4
Cade Cunningham,cunnica01,DET,free throws made,3.5
Isaiah Stewart,stewais01,DET,fantasy score,27
Jabari Smith Jr.,smithja05,HOU,fantasy score,23
Tim Hardaway Jr.,hardati02,DET,fantasy score,19.5
Dillon Brooks,brookdi01,HOU,fantasy score,19
Fred VanVleet,vanvlfr01,HOU,fantasy score,34.5
Tobias Harris,harrito02,DET,fantasy score,32
Alperen Sengun,sengual01,HOU,fantasy score,41
Jaden Ivey,iveyja01,DET,fantasy score,30.5
Jalen Green,greenja05,HOU,fantasy score,35
Cade Cunningham,cunnica01,DET,fantasy score,43.5
